candidate,candidate_label,linear_cost_bps,aum_multiplier,impact_bps,scenarios,ann_wins,sharpe_wins,mdd_wins,ann_win_rate,sharpe_win_rate,mdd_win_rate,state
case_lingxi_context_router,Conservative context router,10.00,0.50,0.00,16,3,4,9,0.1875,0.2500,0.5625,risk_control_candidate
case_lingxi_context_router,Conservative context router,10.00,0.50,5.00,16,3,4,10,0.1875,0.2500,0.6250,risk_control_candidate
case_lingxi_context_router,Conservative context router,10.00,0.50,10.00,16,3,4,10,0.1875,0.2500,0.6250,risk_control_candidate
case_lingxi_context_router,Conservative context router,10.00,0.50,20.00,16,3,4,10,0.1875,0.2500,0.6250,risk_control_candidate
case_lingxi_context_router,Conservative context router,10.00,1.00,0.00,16,3,4,9,0.1875,0.2500,0.5625,risk_control_candidate
case_lingxi_context_router,Conservative context router,10.00,1.00,5.00,16,3,4,10,0.1875,0.2500,0.6250,risk_control_candidate
case_lingxi_context_router,Conservative context router,10.00,1.00,10.00,16,3,4,10,0.1875,0.2500,0.6250,risk_control_candidate
case_lingxi_context_router,Conservative context router,10.00,1.00,20.00,16,3,4,10,0.1875,0.2500,0.6250,risk_control_candidate
case_lingxi_context_router,Conservative context router,10.00,2.00,0.00,16,3,4,9,0.1875,0.2500,0.5625,risk_control_candidate
case_lingxi_context_router,Conservative context router,10.00,2.00,5.00,16,3,4,10,0.1875,0.2500,0.6250,risk_control_candidate
case_lingxi_context_router,Conservative context router,10.00,2.00,10.00,16,3,4,10,0.1875,0.2500,0.6250,risk_control_candidate
case_lingxi_context_router,Conservative context router,10.00,2.00,20.00,16,3,5,10,0.1875,0.3125,0.6250,risk_control_candidate
case_lingxi_context_router,Conservative context router,10.00,5.00,0.00,16,3,4,9,0.1875,0.2500,0.5625,risk_control_candidate
case_lingxi_context_router,Conservative context router,10.00,5.00,5.00,16,3,4,10,0.1875,0.2500,0.6250,risk_control_candidate
case_lingxi_context_router,Conservative context router,10.00,5.00,10.00,16,3,4,10,0.1875,0.2500,0.6250,risk_control_candidate
case_lingxi_context_router,Conservative context router,10.00,5.00,20.00,16,3,4,9,0.1875,0.2500,0.5625,risk_control_candidate
case_lingxi_context_router,Conservative context router,10.00,10.00,0.00,16,3,4,9,0.1875,0.2500,0.5625,risk_control_candidate
case_lingxi_context_router,Conservative context router,10.00,10.00,5.00,16,3,4,10,0.1875,0.2500,0.6250,risk_control_candidate
case_lingxi_context_router,Conservative context router,10.00,10.00,10.00,16,3,4,10,0.1875,0.2500,0.6250,risk_control_candidate
case_lingxi_context_router,Conservative context router,10.00,10.00,20.00,16,3,4,10,0.1875,0.2500,0.6250,risk_control_candidate
case_lingxi_market_tag_router,Structured market-tag router,10.00,0.50,0.00,16,1,3,7,0.0625,0.1875,0.4375,not_promoted
case_lingxi_market_tag_router,Structured market-tag router,10.00,0.50,5.00,16,1,3,8,0.0625,0.1875,0.5000,not_promoted
case_lingxi_market_tag_router,Structured market-tag router,10.00,0.50,10.00,16,1,3,8,0.0625,0.1875,0.5000,not_promoted
case_lingxi_market_tag_router,Structured market-tag router,10.00,0.50,20.00,16,2,3,7,0.1250,0.1875,0.4375,not_promoted
case_lingxi_market_tag_router,Structured market-tag router,10.00,1.00,0.00,16,1,3,7,0.0625,0.1875,0.4375,not_promoted
case_lingxi_market_tag_router,Structured market-tag router,10.00,1.00,5.00,16,1,3,8,0.0625,0.1875,0.5000,not_promoted
case_lingxi_market_tag_router,Structured market-tag router,10.00,1.00,10.00,16,2,3,7,0.1250,0.1875,0.4375,not_promoted
case_lingxi_market_tag_router,Structured market-tag router,10.00,1.00,20.00,16,2,3,7,0.1250,0.1875,0.4375,not_promoted
case_lingxi_market_tag_router,Structured market-tag router,10.00,2.00,0.00,16,1,3,7,0.0625,0.1875,0.4375,not_promoted
case_lingxi_market_tag_router,Structured market-tag router,10.00,2.00,5.00,16,1,3,8,0.0625,0.1875,0.5000,not_promoted
case_lingxi_market_tag_router,Structured market-tag router,10.00,2.00,10.00,16,2,3,7,0.1250,0.1875,0.4375,not_promoted
case_lingxi_market_tag_router,Structured market-tag router,10.00,2.00,20.00,16,2,2,8,0.1250,0.1250,0.5000,not_promoted
case_lingxi_market_tag_router,Structured market-tag router,10.00,5.00,0.00,16,1,3,7,0.0625,0.1875,0.4375,not_promoted
case_lingxi_market_tag_router,Structured market-tag router,10.00,5.00,5.00,16,2,3,7,0.1250,0.1875,0.4375,not_promoted
case_lingxi_market_tag_router,Structured market-tag router,10.00,5.00,10.00,16,2,3,7,0.1250,0.1875,0.4375,not_promoted
case_lingxi_market_tag_router,Structured market-tag router,10.00,5.00,20.00,16,2,2,8,0.1250,0.1250,0.5000,not_promoted
case_lingxi_market_tag_router,Structured market-tag router,10.00,10.00,0.00,16,1,3,7,0.0625,0.1875,0.4375,not_promoted
case_lingxi_market_tag_router,Structured market-tag router,10.00,10.00,5.00,16,2,3,7,0.1250,0.1875,0.4375,not_promoted
case_lingxi_market_tag_router,Structured market-tag router,10.00,10.00,10.00,16,2,2,8,0.1250,0.1250,0.5000,not_promoted
case_lingxi_market_tag_router,Structured market-tag router,10.00,10.00,20.00,16,2,1,8,0.1250,0.0625,0.5000,not_promoted
case_lingxi_tabular_rl_router,Frozen tabular RL router,10.00,0.50,0.00,16,4,4,6,0.2500,0.2500,0.3750,not_promoted
case_lingxi_tabular_rl_router,Frozen tabular RL router,10.00,0.50,5.00,16,4,4,6,0.2500,0.2500,0.3750,not_promoted
case_lingxi_tabular_rl_router,Frozen tabular RL router,10.00,0.50,10.00,16,4,4,6,0.2500,0.2500,0.3750,not_promoted
case_lingxi_tabular_rl_router,Frozen tabular RL router,10.00,0.50,20.00,16,4,4,6,0.2500,0.2500,0.3750,not_promoted
case_lingxi_tabular_rl_router,Frozen tabular RL router,10.00,1.00,0.00,16,4,4,6,0.2500,0.2500,0.3750,not_promoted
case_lingxi_tabular_rl_router,Frozen tabular RL router,10.00,1.00,5.00,16,4,4,6,0.2500,0.2500,0.3750,not_promoted
case_lingxi_tabular_rl_router,Frozen tabular RL router,10.00,1.00,10.00,16,4,4,6,0.2500,0.2500,0.3750,not_promoted
case_lingxi_tabular_rl_router,Frozen tabular RL router,10.00,1.00,20.00,16,4,4,5,0.2500,0.2500,0.3125,not_promoted
case_lingxi_tabular_rl_router,Frozen tabular RL router,10.00,2.00,0.00,16,4,4,6,0.2500,0.2500,0.3750,not_promoted
case_lingxi_tabular_rl_router,Frozen tabular RL router,10.00,2.00,5.00,16,4,4,6,0.2500,0.2500,0.3750,not_promoted
case_lingxi_tabular_rl_router,Frozen tabular RL router,10.00,2.00,10.00,16,4,4,6,0.2500,0.2500,0.3750,not_promoted
case_lingxi_tabular_rl_router,Frozen tabular RL router,10.00,2.00,20.00,16,5,4,5,0.3125,0.2500,0.3125,not_promoted
case_lingxi_tabular_rl_router,Frozen tabular RL router,10.00,5.00,0.00,16,4,4,6,0.2500,0.2500,0.3750,not_promoted
case_lingxi_tabular_rl_router,Frozen tabular RL router,10.00,5.00,5.00,16,4,4,6,0.2500,0.2500,0.3750,not_promoted
case_lingxi_tabular_rl_router,Frozen tabular RL router,10.00,5.00,10.00,16,4,4,5,0.2500,0.2500,0.3125,not_promoted
case_lingxi_tabular_rl_router,Frozen tabular RL router,10.00,5.00,20.00,16,5,4,5,0.3125,0.2500,0.3125,not_promoted
case_lingxi_tabular_rl_router,Frozen tabular RL router,10.00,10.00,0.00,16,4,4,6,0.2500,0.2500,0.3750,not_promoted
case_lingxi_tabular_rl_router,Frozen tabular RL router,10.00,10.00,5.00,16,4,4,6,0.2500,0.2500,0.3750,not_promoted
case_lingxi_tabular_rl_router,Frozen tabular RL router,10.00,10.00,10.00,16,5,4,5,0.3125,0.2500,0.3125,not_promoted
case_lingxi_tabular_rl_router,Frozen tabular RL router,10.00,10.00,20.00,16,6,5,6,0.3750,0.3125,0.3750,not_promoted
