market,method,variant,horizon,topk,cost_bps,days,ann_return,ann_vol,sharpe,mdd,cum_return,active_ann_return,active_sharpe,avg_turnover,hit_rate,daily_source
cn_a_share,lingxi,raw,5,5,10.00,479,0.37328694,0.12026441,3.10388546,-0.16297135,0.82749327,0.26204092,2.88623577,0.16764092,0.54697286,experiments\lingxi_functionevolve_blend_expanded\lingxi_h5_top5_raw_daily.csv
cn_a_share,lingxi,industry_size_neutral,5,5,10.00,479,0.23647204,0.10935173,2.16249018,-0.17407067,0.49700528,0.13644089,1.84975540,0.18141962,0.51774530,experiments\lingxi_functionevolve_blend_expanded\lingxi_h5_top5_industry_size_neutral_daily.csv
cn_a_share,lingxi_functionevolve_memory_w0.15,raw,5,5,10.00,479,0.45924200,0.12603101,3.64388088,-0.15565208,1.05103075,0.34170873,3.67750983,0.18684760,0.56576200,experiments\lingxi_functionevolve_blend_expanded\lingxi_functionevolve_memory_w0.15_h5_top5_raw_daily.csv
cn_a_share,lingxi_functionevolve_memory_w0.15,industry_size_neutral,5,5,10.00,479,0.27400412,0.11611986,2.35966641,-0.17983442,0.58455768,0.17174161,2.30193743,0.20897704,0.50313152,experiments\lingxi_functionevolve_blend_expanded\lingxi_functionevolve_memory_w0.15_h5_top5_industry_size_neutral_daily.csv
cn_a_share,lingxi_functionevolve_memory_w0.30,raw,5,5,10.00,479,0.42099554,0.12868722,3.27146347,-0.12776803,0.95005681,0.30663972,3.20937783,0.29457203,0.53235908,experiments\lingxi_functionevolve_blend_expanded\lingxi_functionevolve_memory_w0.30_h5_top5_raw_daily.csv
cn_a_share,lingxi_functionevolve_memory_w0.30,industry_size_neutral,5,5,10.00,479,0.22077304,0.11158187,1.97857441,-0.18538045,0.46108379,0.12244673,1.70957784,0.31169102,0.49478079,experiments\lingxi_functionevolve_blend_expanded\lingxi_functionevolve_memory_w0.30_h5_top5_industry_size_neutral_daily.csv
cn_a_share,lingxi,raw,5,10,10.00,479,0.32943436,0.10154567,3.24419907,-0.10094805,0.71816653,0.22177859,3.50319497,0.13883090,0.54070981,experiments\lingxi_functionevolve_blend_expanded\lingxi_h5_top10_raw_daily.csv
cn_a_share,lingxi,industry_size_neutral,5,10,10.00,479,0.17696504,0.09711075,1.82230126,-0.16728084,0.36303476,0.08221310,1.83337538,0.14258873,0.49686848,experiments\lingxi_functionevolve_blend_expanded\lingxi_h5_top10_industry_size_neutral_daily.csv
cn_a_share,lingxi_functionevolve_memory_w0.15,raw,5,10,10.00,479,0.36278179,0.10006917,3.62531010,-0.09928511,0.80101238,0.25226038,3.99399233,0.17139875,0.53653445,experiments\lingxi_functionevolve_blend_expanded\lingxi_functionevolve_memory_w0.15_h5_top10_raw_daily.csv
cn_a_share,lingxi_functionevolve_memory_w0.15,industry_size_neutral,5,10,10.00,479,0.17525806,0.09519706,1.84100294,-0.15395803,0.35927965,0.08040916,1.76218427,0.17578288,0.50313152,experiments\lingxi_functionevolve_blend_expanded\lingxi_functionevolve_memory_w0.15_h5_top10_industry_size_neutral_daily.csv
cn_a_share,lingxi_functionevolve_memory_w0.30,raw,5,10,10.00,479,0.34327521,0.10224074,3.35751881,-0.12034188,0.75232728,0.23469218,3.79367965,0.27557411,0.51565762,experiments\lingxi_functionevolve_blend_expanded\lingxi_functionevolve_memory_w0.30_h5_top10_raw_daily.csv
cn_a_share,lingxi_functionevolve_memory_w0.30,industry_size_neutral,5,10,10.00,479,0.15248203,0.09433923,1.61631626,-0.17430737,0.30964570,0.05936029,1.29140210,0.26868476,0.48225470,experiments\lingxi_functionevolve_blend_expanded\lingxi_functionevolve_memory_w0.30_h5_top10_industry_size_neutral_daily.csv
