method,variant,horizon,topk,cost_bps,days,ann_return,ann_vol,sharpe,mdd,cum_return,active_ann_return,active_sharpe,avg_turnover,hit_rate
risk_gated_2025,raw,5,20,5.00,183,1.91243304,0.13354782,14.32021110,-0.07809631,1.17339292,0.99996306,9.46831020,0.13579235,0.70491803
risk_gated_2025,industry_size_neutral,5,20,5.00,183,1.68037525,0.11841548,14.19050300,-0.07831535,1.04621642,0.83953832,9.22998463,0.14344262,0.68852459
risk_gated_2025,raw,5,20,10.00,183,1.86320474,0.13361428,13.94465290,-0.07890833,1.14665309,0.96611144,9.14173705,0.13579235,0.70491803
risk_gated_2025,industry_size_neutral,5,20,10.00,183,1.63255190,0.11840550,13.78780425,-0.07894261,1.01963892,0.80666414,8.86693507,0.14344262,0.68306011
risk_gated_2025,raw,5,20,20.00,183,1.76721758,0.13375588,13.21226109,-0.08053045,1.09414929,0.90010859,8.50507074,0.13579235,0.69945355
risk_gated_2025,industry_size_neutral,5,20,20.00,183,1.53943718,0.11839494,13.00255884,-0.08019604,0.96750797,0.74265909,8.15929583,0.14344262,0.67759563
risk_gated_2025,raw,5,30,5.00,183,1.58544586,0.11832328,13.39927295,-0.07118129,0.99333051,0.77454974,8.68181415,0.12021858,0.72131148
risk_gated_2025,industry_size_neutral,5,30,5.00,183,1.32077543,0.10117235,13.05470795,-0.06298994,0.84297434,0.59185562,8.22376907,0.13278689,0.72677596
risk_gated_2025,raw,5,30,10.00,183,1.54672286,0.11831692,13.07271069,-0.07164938,0.97160556,0.74792808,8.38143043,0.12021858,0.71584699
risk_gated_2025,industry_size_neutral,5,30,10.00,183,1.28237672,0.10125003,12.66544576,-0.06553670,0.82077996,0.56548058,7.84736550,0.13278689,0.72131148
risk_gated_2025,raw,5,30,20.00,183,1.47099957,0.11831037,12.43339484,-0.07258495,0.92885860,0.69587103,7.79366519,0.12021858,0.70491803
risk_gated_2025,industry_size_neutral,5,30,20.00,183,1.20746590,0.10141224,11.90651099,-0.07061012,0.77718463,0.51402815,7.11442914,0.13278689,0.71038251
risk_gated_2025,raw,5,50,5.00,183,1.23990091,0.09879758,12.54991176,-0.06160970,0.79610956,0.53655402,8.11221271,0.10830601,0.72677596
risk_gated_2025,industry_size_neutral,5,50,5.00,183,1.08028330,0.08020984,13.46821393,-0.05320880,0.70222717,0.42622147,9.51230769,0.11628415,0.73224044
risk_gated_2025,raw,5,50,10.00,183,1.20963018,0.09882734,12.23983315,-0.06202591,0.77844979,0.51575617,7.79053568,0.10830601,0.72131148
risk_gated_2025,industry_size_neutral,5,50,10.00,183,1.05010850,0.08022820,13.08901905,-0.05386517,0.68426094,0.40550286,9.04169611,0.11628415,0.72131148
risk_gated_2025,raw,5,50,20.00,183,1.15030456,0.09889227,11.63189537,-0.06285784,0.74364599,0.47499712,7.16072673,0.10830601,0.71584699
risk_gated_2025,industry_size_neutral,5,50,20.00,183,0.99105951,0.08027143,12.34635393,-0.05517667,0.64889168,0.36496001,8.12085542,0.11628415,0.72131148
