date,chosen_adapter_weight,lagged_proxy_ic,lagged_adapter_ic,history_days
2026-04-08,0.000000,0.00000000,0.00000000,0
2026-04-09,0.000000,0.00000000,0.00000000,0
2026-04-10,0.000000,0.00000000,0.00000000,0
2026-04-13,0.000000,0.00000000,0.00000000,0
2026-04-14,0.000000,0.00000000,0.00000000,0
2026-04-15,0.000000,0.00000000,0.00000000,0
2026-04-16,0.000000,0.00000000,0.00000000,1
2026-04-17,0.000000,0.00000000,0.00000000,2
2026-04-20,0.000000,0.00000000,0.00000000,3
2026-04-21,0.000000,0.00000000,0.00000000,4
2026-04-22,0.000000,0.00000000,0.00000000,5
2026-04-23,0.000000,0.00000000,0.00000000,6
2026-04-24,0.000000,0.00000000,0.00000000,7
2026-04-27,0.000000,0.00000000,0.00000000,8
2026-04-28,0.000000,0.00000000,0.00000000,9
2026-04-29,0.000000,0.00000000,0.00000000,10
2026-04-30,0.000000,0.00000000,0.00000000,11
2026-05-06,0.000000,0.00000000,0.00000000,12
2026-05-07,0.000000,0.00000000,0.00000000,13
2026-05-08,0.000000,0.00000000,0.00000000,14
2026-05-11,0.000000,0.00000000,0.00000000,15
2026-05-12,0.000000,0.00000000,0.00000000,16
2026-05-13,0.000000,0.00000000,0.00000000,17
2026-05-14,0.000000,0.00000000,0.00000000,18
2026-05-15,0.000000,0.00000000,0.00000000,19
2026-05-18,0.000000,0.21579213,0.12471670,20
2026-05-19,0.000000,0.21171907,0.11966491,21
2026-05-20,0.000000,0.21458759,0.11777935,22
2026-05-21,0.000000,0.21362284,0.11146622,23
2026-05-22,0.000000,0.21565291,0.10703417,24
2026-05-25,0.000000,0.22854996,0.11036044,25
2026-05-26,0.000000,0.24420838,0.11694561,26
2026-05-27,0.000000,0.24958974,0.11688683,27
2026-05-28,0.000000,0.25302874,0.11708672,28
2026-05-29,0.000000,0.26343671,0.12540891,29
2026-06-01,0.000000,0.26091389,0.12372244,30
2026-06-02,0.000000,0.24720525,0.11290181,31
2026-06-03,0.000000,0.23694376,0.10886991,32
2026-06-04,0.250000,0.23249701,0.10851912,33
2026-06-05,0.250000,0.22983145,0.10809594,34
2026-06-08,0.250000,0.22688675,0.10779457,35
2026-06-09,0.250000,0.22646905,0.10141708,36
2026-06-10,0.250000,0.22990497,0.09879963,37
2026-06-11,0.000000,0.22421970,0.09133729,38
