candidate_id,title,year,venue_or_status,method_family,primary_lingxi_use,source_url,priority
2023_patchtst,PatchTST: A Time Series is Worth 64 Words,2023,ICLR 2023,patch_transformer,Patch-token OHLCV feature proxy for Lingxi10/Lingxi5,https://arxiv.org/abs/2211.14730,3
2023_timesnet,TimesNet: Temporal 2D-Variation Modeling for General Time Series Analysis,2023,ICLR 2023,periodicity_2d_variation,Periodic/multi-task feature inspiration for multiscale proxies,https://arxiv.org/abs/2210.02186,5
2024_itransformer,iTransformer: Inverted Transformers Are Effective for Time Series Forecasting,2024,ICLR 2024 Spotlight,variate_attention,Cross-sectional variate-attention ranking proxy,https://arxiv.org/abs/2310.06625,1
2024_timemixer,TimeMixer: Decomposable Multiscale Mixing for Time Series Forecasting,2024,ICLR 2024,multiscale_mlp,Multiscale momentum/reversal/trend decomposition features,https://arxiv.org/abs/2405.14616,4
2025_timemixerpp,TimeMixer++: A General Time Series Pattern Machine for Universal Predictive Analysis,2025,ICLR 2025,multiresolution_pattern_machine,Later-stage universal multiresolution upgrade candidate,https://arxiv.org/abs/2410.16032,4
2022_nonstationary_transformer,Non-stationary Transformers: Exploring the Stationarity in Time Series Forecasting,2022,NeurIPS 2022,nonstationarity_correction,Point-in-time normalization and de-stationary score restoration,https://proceedings.neurips.cc/paper_files/paper/2022/hash/4054556fcaa934b0bf76da52cf4f92cb-Abstract-Conference.html,2
2022_fedformer,FEDformer: Frequency Enhanced Decomposed Transformer for Long-term Series Forecasting,2022,ICML 2022,frequency_decomposition,Frequency/seasonal-trend features for multiscale proxy,https://proceedings.mlr.press/v162/zhou22g.html,4
2023_nhits,N-HiTS: Neural Hierarchical Interpolation for Time Series Forecasting,2023,AAAI 2023,hierarchical_interpolation,Multi-rate sampling and interpolation-inspired features,https://ojs.aaai.org/index.php/AAAI/article/view/25854,4
2023_dlinear,Are Transformers Effective for Time Series Forecasting?,2023,AAAI 2023,decomposition_linear,LinearGuard baseline every neural upgrade must beat,https://ojs.aaai.org/index.php/AAAI/article/view/26317,0
2024_timesfm,A Decoder-Only Foundation Model for Time-Series Forecasting,2024,ICML 2024 / Google Research,foundation_forecaster,Later-stage foundation-model feature source,https://research.google/blog/a-decoder-only-foundation-model-for-time-series-forecasting/,6
2024_chronos,Chronos: Learning the Language of Time Series,2024,arXiv 2024,tokenized_foundation_model,Probabilistic tokenized forecasting representation test,https://arxiv.org/abs/2403.07815,6
2024_moirai,Unified Training of Universal Time Series Forecasting Transformers,2024,ICML 2024 Oral,universal_forecasting_transformer,Probabilistic any-variate representation candidate,https://arxiv.org/abs/2402.02592,6
2024_moment,MOMENT: A Family of Open Time-series Foundation Models,2024,ICML 2024,foundation_model_multitask,General TS representation candidate across tasks,https://arxiv.org/abs/2402.03885,6
2024_ttm,Tiny Time Mixers for Long-term Multivariate Time Series Forecasting,2024,NeurIPS 2024,tiny_pretrained_ts_model,Lightweight pretrained baseline/feature candidate,https://openreview.net/forum?id=3O5YCEWETq,5
