paper_id,ara_paper_exists,title,authors,year,venue,doi_or_url,metadata_status,source
2022_factorvae_duan,True,FactorVAE: A Probabilistic Dynamic Factor Model Based on Variational Autoencoder for Predicting Cross-Sectional Stock Returns,Not specified in provided sources,2022,AAAI 2022,C:\\aicoding\\Stock_benchmark\\papers\\raw\\2022_factorvae_duan.pdf,incomplete_authors,ara_artifacts\2022_factorvae_duan\PAPER.md
2021_hatr_wang,True,Hierarchical Adaptive Temporal-Relational Modeling for Stock Trend Prediction,Not specified in provided sources,2021,IJCAI 2021,C:\\aicoding\\Stock_benchmark\\papers\\raw\\2021_hatr_wang.pdf,incomplete_authors,ara_artifacts\2021_hatr_wang\PAPER.md
2022_alsp_tf_wang,True,Adaptive Long-Short Pattern Transformer for Stock Investment Selection,Not specified in provided sources,2022,IJCAI 2022,C:\\aicoding\\Stock_benchmark\\papers\\raw\\2022_alsp_tf_wang.pdf,incomplete_authors,ara_artifacts\2022_alsp_tf_wang\PAPER.md
2024_ci_sthpan_xia,True,CI-STHPAN: Pre-trained Attention Network for Stock Selection with Channel-Independent Spatio-Temporal Hypergraph,Not specified in provided sources,2024,AAAI 2024,Not specified in provided sources,incomplete_authors,ara_artifacts\2024_ci_sthpan_xia\PAPER.md
2024_mdgnn_li,True,MDGNN: Multi-Relational Dynamic Graph Neural Network for Comprehensive and Dynamic Stock Investment Prediction,Not specified in provided sources,2024,AAAI 2024,C:\\aicoding\\Stock_benchmark\\papers\\raw\\2024_mdgnn_li.pdf,incomplete_authors,ara_artifacts\2024_mdgnn_li\PAPER.md
2021_deeptrader_wang,True,DeepTrader: A Deep Reinforcement Learning Approach for Risk-Return Balanced Portfolio Management with Market Conditions Embedding,Not specified in provided sources,2021,AAAI 2021,Not specified in provided sources,incomplete_authors,ara_artifacts\2021_deeptrader_wang\PAPER.md
2019_alphastock_wang,True,AlphaStock: A Buying-Winners-and-Selling-Losers Investment Strategy using Interpretable Deep Reinforcement Attention Networks,Not specified in provided sources,2019,KDD 2019,C:\\aicoding\\Stock_benchmark\\papers\\raw\\2019_alphastock_wang.pdf,incomplete_authors,ara_artifacts\2019_alphastock_wang\PAPER.md
2020_doubleensemble_zhang,True,DoubleEnsemble: A New Ensemble Method Based on Sample Reweighting and Feature Selection for Financial Data Analysis,Not specified in provided sources,2020,ICDM 2020,C:\\aicoding\\Stock_benchmark\\papers\\raw\\2020_doubleensemble_zhang.pdf,incomplete_authors,ara_artifacts\2020_doubleensemble_zhang\PAPER.md
2024_diffsformer_gao,True,DiffsFormer: A Diffusion Transformer on Stock Factor Augmentation,Not specified in provided sources,2024,preprint,C:\\aicoding\\Stock_benchmark\\papers\\raw\\2024_diffsformer_gao.pdf,incomplete_authors,ara_artifacts\2024_diffsformer_gao\PAPER.md
2025_finmamba_hu,True,FinMamba: Market-Aware Graph Enhanced Multi-Level Mamba for Stock Movement Prediction,Not specified in provided sources,2025,preprint,C:\\aicoding\\Stock_benchmark\\papers\\raw\\2025_finmamba_hu.pdf,incomplete_authors,ara_artifacts\2025_finmamba_hu\PAPER.md
2024_lsr_igru_zhu,True,LSR-IGRU: Stock Trend Prediction Based on Long Short-Term Relationships and Improved GRU,Not specified in provided sources,2024,CIKM 2024,C:\\aicoding\\Stock_benchmark\\papers\\raw\\2024_lsr_igru_zhu.pdf,incomplete_authors,ara_artifacts\2024_lsr_igru_zhu\PAPER.md
2025_timefilter_hu,True,TimeFilter: Patch-Specific Spatial-Temporal Graph Filtration for Time Series Forecasting,Not specified in provided sources,2025,ICML 2025,C:\\aicoding\\Stock_benchmark\\papers\\raw\\2025_timefilter_hu.pdf,incomplete_authors,ara_artifacts\2025_timefilter_hu\PAPER.md
2025_cogalpha_liu,True,Cognitive Alpha Mining via LLM-Driven Code-Based Evolution,Not specified in provided sources,2025,arXiv 2025/2026,Not specified in provided sources,incomplete_authors,ara_artifacts\2025_cogalpha_liu\PAPER.md
2025_quantbench_wang,True,QuantBench: Benchmarking AI Methods for Quantitative Investment,Not specified in provided sources,2025,arXiv / OpenReview / FITEE 2026,Not specified in provided sources,incomplete_authors,ara_artifacts\2025_quantbench_wang\PAPER.md
2025_fintsb,True,FinTSB: A Comprehensive and Practical Benchmark for Financial Time Series,Not specified in provided sources,2025,arXiv 2025,Not specified in provided sources,incomplete_authors,ara_artifacts\2025_fintsb\PAPER.md
2024_technical_indicator_impact,True,Assessing the Impact of Technical Indicators on Machine Learning Models for High-Frequency Stock Price Prediction,Not specified in provided sources,2024,arXiv 2024,Not specified in provided sources,incomplete_authors,ara_artifacts\2024_technical_indicator_impact\PAPER.md
2025_tin,True,Technical Indicator Networks: An Interpretable Neural Approach,Not specified in provided sources,2025,arXiv 2025,Not specified in provided sources,incomplete_authors,ara_artifacts\2025_tin\PAPER.md
